order_completed_at,unique_order_count,year,month,day,dayofweek_num,midmonth,payday,double_date
2023-01-01,15,2023,1,1,6,0,0,1
2023-01-02,32,2023,1,2,0,0,0,0
2023-01-03,89,2023,1,3,1,0,0,0
2023-01-04,73,2023,1,4,2,0,0,0
2023-01-05,67,2023,1,5,3,0,0,0
2023-01-06,75,2023,1,6,4,0,0,0
2023-01-07,52,2023,1,7,5,0,0,0
2023-01-08,49,2023,1,8,6,0,0,0
2023-01-09,41,2023,1,9,0,0,0,0
2023-01-10,77,2023,1,10,1,0,0,0
2023-01-11,71,2023,1,11,2,0,0,0
2023-01-12,68,2023,1,12,3,0,0,0
2023-01-13,55,2023,1,13,4,0,0,0
2023-01-14,53,2023,1,14,5,0,0,0
2023-01-15,63,2023,1,15,6,1,0,0
2023-01-16,239,2023,1,16,0,0,0,0
2023-01-17,298,2023,1,17,1,0,0,0
2023-01-18,244,2023,1,18,2,0,0,0
2023-01-19,142,2023,1,19,3,0,0,0
2023-01-20,28,2023,1,20,4,0,0,0
2023-01-21,10,2023,1,21,5,0,0,0
2023-01-22,12,2023,1,22,6,0,0,0
2023-01-23,30,2023,1,23,0,0,0,0
2023-01-24,42,2023,1,24,1,0,0,0
2023-01-25,64,2023,1,25,2,0,1,0
2023-01-26,37,2023,1,26,3,0,1,0
2023-01-27,39,2023,1,27,4,0,1,0
2023-01-28,66,2023,1,28,5,0,1,0
2023-01-29,37,2023,1,29,6,0,1,0
2023-01-30,41,2023,1,30,0,0,1,0
2023-01-31,84,2023,1,31,1,0,1,0
2023-02-01,49,2023,2,1,2,0,0,0
2023-02-02,609,2023,2,2,3,0,0,1
2023-02-03,41,2023,2,3,4,0,0,0
2023-02-04,44,2023,2,4,5,0,0,0
2023-02-05,42,2023,2,5,6,0,0,0
2023-02-06,69,2023,2,6,0,0,0,0
2023-02-07,63,2023,2,7,1,0,0,0
2023-02-08,38,2023,2,8,2,0,0,0
2023-02-09,53,2023,2,9,3,0,0,0
2023-02-10,38,2023,2,10,4,0,0,0
2023-02-11,46,2023,2,11,5,0,0,0
2023-02-12,142,2023,2,12,6,0,0,0
2023-02-13,101,2023,2,13,0,0,0,0
2023-02-14,126,2023,2,14,1,0,0,0
2023-02-15,43,2023,2,15,2,1,0,0
2023-02-16,89,2023,2,16,3,0,0,0
2023-02-17,51,2023,2,17,4,0,0,0
2023-02-18,31,2023,2,18,5,0,0,0
2023-02-19,20,2023,2,19,6,0,0,0
2023-02-20,40,2023,2,20,0,0,0,0
2023-02-21,69,2023,2,21,1,0,0,0
2023-02-22,115,2023,2,22,2,0,0,0
2023-02-23,105,2023,2,23,3,0,0,0
2023-02-24,56,2023,2,24,4,0,0,0
2023-02-25,132,2023,2,25,5,0,1,0
2023-02-26,117,2023,2,26,6,0,1,0
2023-02-27,113,2023,2,27,0,0,1,0
2023-02-28,143,2023,2,28,1,0,1,0
2023-03-01,56,2023,3,1,2,0,0,0
2023-03-02,47,2023,3,2,3,0,0,0
2023-03-03,506,2023,3,3,4,0,0,1
2023-03-04,49,2023,3,4,5,0,0,0
2023-03-05,41,2023,3,5,6,0,0,0
2023-03-06,88,2023,3,6,0,0,0,0
2023-03-07,84,2023,3,7,1,0,0,0
2023-03-08,61,2023,3,8,2,0,0,0
2023-03-09,71,2023,3,9,3,0,0,0
2023-03-10,69,2023,3,10,4,0,0,0
2023-03-11,62,2023,3,11,5,0,0,0
2023-03-12,43,2023,3,12,6,0,0,0
2023-03-13,61,2023,3,13,0,0,0,0
2023-03-14,61,2023,3,14,1,0,0,0
2023-03-15,115,2023,3,15,2,1,0,0
2023-03-16,87,2023,3,16,3,0,0,0
2023-03-17,99,2023,3,17,4,0,0,0
2023-03-18,79,2023,3,18,5,0,0,0
2023-03-19,99,2023,3,19,6,0,0,0
2023-03-20,137,2023,3,20,0,0,0,0
2023-03-21,121,2023,3,21,1,0,0,0
2023-03-22,108,2023,3,22,2,0,0,0
2023-03-23,108,2023,3,23,3,0,0,0
2023-03-24,86,2023,3,24,4,0,0,0
2023-03-25,64,2023,3,25,5,0,1,0
2023-03-26,74,2023,3,26,6,0,1,0
2023-03-27,81,2023,3,27,0,0,1,0
2023-03-28,91,2023,3,28,1,0,1,0
2023-03-29,98,2023,3,29,2,0,1,0
2023-03-30,94,2023,3,30,3,0,1,0
2023-03-31,97,2023,3,31,4,0,1,0
2023-04-01,50,2023,4,1,5,0,0,0
2023-04-02,42,2023,4,2,6,0,0,0
2023-04-03,83,2023,4,3,0,0,0,0
2023-04-04,268,2023,4,4,1,0,0,1
2023-04-05,67,2023,4,5,2,0,0,0
2023-04-06,69,2023,4,6,3,0,0,0
2023-04-07,52,2023,4,7,4,0,0,0
2023-04-08,82,2023,4,8,5,0,0,0
2023-04-09,64,2023,4,9,6,0,0,0
2023-04-10,65,2023,4,10,0,0,0,0
2023-04-11,36,2023,4,11,1,0,0,0
2023-04-12,12,2023,4,12,2,0,0,0
2023-04-13,12,2023,4,13,3,0,0,0
2023-04-14,11,2023,4,14,4,0,0,0
2023-04-15,16,2023,4,15,5,1,0,0
2023-04-16,16,2023,4,16,6,0,0,0
2023-04-17,57,2023,4,17,0,0,0,0
2023-04-18,96,2023,4,18,1,0,0,0
2023-04-19,62,2023,4,19,2,0,0,0
2023-04-20,62,2023,4,20,3,0,0,0
2023-04-21,43,2023,4,21,4,0,0,0
2023-04-22,54,2023,4,22,5,0,0,0
2023-04-23,42,2023,4,23,6,0,0,0
2023-04-24,49,2023,4,24,0,0,0,0
