order_completed_at,unique_order_count,total_quantity
2023-01-01,15,57
2023-01-02,32,121
2023-01-03,89,446
2023-01-04,73,408
2023-01-05,67,356
2023-01-06,75,616
2023-01-07,52,327
2023-01-08,49,305
2023-01-09,41,251
2023-01-10,77,512
2023-01-11,71,415
2023-01-12,68,414
2023-01-13,55,514
2023-01-14,53,218
2023-01-15,63,349
2023-01-16,239,1214
2023-01-17,298,1644
2023-01-18,244,1477
2023-01-19,142,759
2023-01-20,28,239
2023-01-21,10,128
2023-01-22,12,90
2023-01-23,30,122
2023-01-24,42,149
2023-01-25,64,369
2023-01-26,37,183
2023-01-27,39,387
2023-01-28,66,340
2023-01-29,37,207
2023-01-30,41,265
2023-01-31,84,690
2023-02-01,49,326
2023-02-02,609,3711
2023-02-03,41,190
2023-02-04,44,281
2023-02-05,42,216
2023-02-06,69,430
2023-02-07,63,379
2023-02-08,38,236
2023-02-09,53,409
2023-02-10,38,243
2023-02-11,46,364
2023-02-12,142,719
2023-02-13,101,515
2023-02-14,126,673
2023-02-15,43,307
2023-02-16,89,543
2023-02-17,51,400
2023-02-18,31,141
2023-02-19,20,131
2023-02-20,40,269
2023-02-21,69,702
2023-02-22,115,558
2023-02-23,105,462
2023-02-24,56,225
2023-02-25,132,810
2023-02-26,117,687
2023-02-27,113,682
2023-02-28,143,1284
2023-03-01,56,302
2023-03-02,47,275
2023-03-03,506,3332
2023-03-04,49,224
2023-03-05,41,333
2023-03-06,88,383
2023-03-07,84,371
2023-03-08,61,393
2023-03-09,71,353
2023-03-10,69,353
2023-03-11,62,366
2023-03-12,43,285
2023-03-13,61,297
2023-03-14,61,379
2023-03-15,115,610
2023-03-16,87,526
2023-03-17,99,623
2023-03-18,79,476
2023-03-19,99,442
2023-03-20,137,612
2023-03-21,121,788
2023-03-22,108,587
2023-03-23,108,834
2023-03-24,86,539
2023-03-25,64,452
2023-03-26,74,531
2023-03-27,81,404
2023-03-28,91,667
2023-03-29,98,703
2023-03-30,94,523
2023-03-31,97,648
2023-04-01,50,225
2023-04-02,42,236
2023-04-03,83,388
2023-04-04,268,2022
2023-04-05,67,346
2023-04-06,69,405
2023-04-07,52,307
2023-04-08,82,384
2023-04-09,64,253
2023-04-10,65,367
2023-04-11,36,310
2023-04-12,12,27
2023-04-13,12,46
2023-04-14,11,15
2023-04-15,16,62
2023-04-16,16,55
2023-04-17,57,253
2023-04-18,96,528
2023-04-19,62,403
2023-04-20,62,333
2023-04-21,43,395
2023-04-22,54,546
2023-04-23,42,262
2023-04-24,49,357
2023-04-25,54,447
2023-04-26,61,372
2023-04-27,51,324
2023-04-28,46,310
2023-04-29,32,233
2023-04-30,58,383
2023-05-01,57,332
2023-05-02,61,352
2023-05-03,55,379
2023-05-04,85,549
2023-05-05,298,2418
2023-05-06,47,203
2023-05-07,52,282
2023-05-08,63,400
2023-05-09,54,263
2023-05-10,46,272
2023-05-11,43,348
2023-05-12,41,268
2023-05-13,50,409
2023-05-14,33,285
2023-05-15,63,457
2023-05-16,52,304
2023-05-17,60,620
2023-05-18,74,1369
2023-05-19,80,631
2023-05-20,80,616
2023-05-21,64,624
2023-05-22,84,761
2023-05-23,90,799
2023-05-24,97,949
2023-05-25,84,2874
2023-05-26,107,1135
2023-05-27,80,1001
2023-05-28,105,1008
2023-05-29,93,2623
2023-05-30,103,2158
2023-05-31,113,1249
2023-06-01,51,407
2023-06-02,38,390
2023-06-03,34,570
2023-06-04,38,360
2023-06-05,65,682
2023-06-06,163,1511
2023-06-07,84,646
2023-06-08,112,856
2023-06-09,54,615
2023-06-10,52,1000
2023-06-11,58,496
2023-06-12,64,497
2023-06-13,76,552
2023-06-14,61,373
2023-06-15,78,594
2023-06-16,78,580
2023-06-17,67,535
2023-06-18,53,522
2023-06-19,72,625
2023-06-20,47,828
2023-06-21,53,1163
2023-06-22,72,1391
2023-06-23,46,1242
2023-06-24,49,400
2023-06-25,55,496
2023-06-26,71,779
2023-06-27,63,625
2023-06-28,32,299
2023-06-29,57,451
2023-06-30,64,668
2023-07-01,50,627
2023-07-02,59,1187
2023-07-03,62,619
2023-07-04,59,560
2023-07-05,71,755
2023-07-06,108,1019
2023-07-07,238,1980
2023-07-08,150,987
2023-07-09,126,1083
2023-07-10,69,770
2023-07-11,73,1492
2023-07-12,70,593
2023-07-13,74,536
2023-07-14,79,739
2023-07-15,78,625
2023-07-16,75,677
2023-07-17,91,883
2023-07-18,90,804
2023-07-19,86,769
2023-07-20,86,743
2023-07-21,67,601
2023-07-22,86,699
2023-07-23,76,680
2023-07-24,70,603
2023-07-25,50,418
2023-07-26,78,679
2023-07-27,58,631
2023-07-28,60,573
2023-07-29,48,415
2023-07-30,62,621
2023-07-31,77,892
2023-08-01,72,598
2023-08-02,76,702
2023-08-03,80,703
2023-08-04,80,694
2023-08-05,64,496
2023-08-06,84,824
2023-08-07,64,707
2023-08-08,266,1919
2023-08-09,356,1729
2023-08-10,508,3455
2023-08-11,81,600
2023-08-12,83,682
2023-08-13,78,974
